DISTRITO_COD;DISTRITO_DESC;ORGANISMO_DESC;ACTIVIDAD_DESC;GRUPO_DESC;INFANTIL;NIÑEZ;ADOLESCENCIA;JOVEN ADULTO;ADULTO;ADULTO MAYOR;NUM_MAXIMO_ASISTENTES;NUM_PLAZAS_OCUPADAS;NUM_PLAZAS_LIBRES;DURACION_ACTIVIDAD_LUNES;HORA_INICIO_LUNES;DURACION_ACTIVIDAD_MARTES;HORA_INICIO_MARTES;DURACION_ACTIVIDAD_MIERCOLES;HORA_INICIO_MIERCOLES;DURACION_ACTIVIDAD_JUEVES;HORA_INICIO_JUEVES;DURACION_ACTIVIDAD_VIERNES;HORA_INICIO_VIERNES;DURACION_ACTIVIDAD_SABADO;HORA_INICIO_SABADO;DURACION_ACTIVIDAD_DOMINGO;HORA_INICIO_DOMINGO
1;CENTRO;C.C. 'CLARA DEL REY';ACUARELA;1;0;0;1;1;1;1;12;12;0;;;;;;;2 HORAS, 30 MIN;17:30;;;;;;
1;CENTRO;C.C. 'CLARA DEL REY';BAILE EN LINEA;1;0;0;1;1;1;1;10;10;0;1 hora;19:00;;;1 hora;19:00;;;;;;;;
1;CENTRO;C.C. 'CLARA DEL REY';BAILE EN LINEA;2;0;0;1;1;1;1;10;10;0;1 hora;20:00;;;1 hora;20:00;;;;;;;;
1;CENTRO;C.C. 'CLARA DEL REY';CERAMICA;1;0;0;1;1;1;1;8;8;0;3 horas;17:30;;;;;;;;;;;;
1;CENTRO;C.C. 'CLARA DEL REY';CERAMICA;2;0;0;1;1;1;1;8;8;0;;;;;3 horas;17:30;;;;;;;;
1;CENTRO;C.C. 'CLARA DEL REY';CERAMICA;3;0;0;1;1;1;1;8;8;0;;;;;;;;;3 horas;10:00;;;;
1;CENTRO;C.C. 'CLARA DEL REY';CONOCER MADRID;1;0;0;1;1;1;1;15;15;0;;;;;2 horas;11:30;;;;;;;;
1;CENTRO;C.C. 'CLARA DEL REY';CONOCER MADRID;2;0;0;1;1;1;1;15;15;0;;;2 horas;11:30;;;;;;;;;;
1;CENTRO;C.C. 'CLARA DEL REY';CONOCER MADRID;3;0;0;1;1;1;1;15;15;0;;;;;;;2 horas;11:30;;;;;;
1;CENTRO;C.C. 'CLARA DEL REY';CORTE Y CONFECCION;1;0;0;1;1;1;1;8;8;0;3 horas;10:00;;;;;;;;;;;;
1;CENTRO;C.C. 'CLARA DEL REY';CORTE Y CONFECCION;2;0;0;1;1;1;1;8;8;0;;;3 horas;10:00;;;;;;;;;;
1;CENTRO;C.C. 'CLARA DEL REY';DIBUJO;1;0;0;1;1;1;1;12;12;0;1 hora, 30 min;10:30;;;1 hora, 30 min;10:30;;;;;;;;
1;CENTRO;C.C. 'CLARA DEL REY';FITNESS;1;0;0;1;1;1;1;12;12;0;1 hora;17:00;;;1 hora;17:00;;;;;;;;
1;CENTRO;C.C. 'CLARA DEL REY';FITNESS;2;0;0;1;1;1;1;12;12;0;1 hora;18:00;;;1 hora;18:00;;;;;;;;
1;CENTRO;C.C. 'CLARA DEL REY';FITNESS;3;0;0;1;1;1;1;12;12;0;;;1 hora;9:30;;;1 hora;9:30;;;;;;
1;CENTRO;C.C. 'CLARA DEL REY';FITNESS;4;0;0;1;1;1;1;12;12;0;;;1 hora;10:30;;;1 hora;10:30;;;;;;
1;CENTRO;C.C. 'CLARA DEL REY';ENCUADERNACION;1;0;0;1;1;1;1;8;8;0;3 horas;17:00;;;;;;;;;;;;
1;CENTRO;C.C. 'CLARA DEL REY';ENCUADERNACION;2;0;0;1;1;1;1;8;8;0;;;;;;;3 horas;17:00;;;;;;
1;CENTRO;C.C. 'CLARA DEL REY';FOTOGRAFIA URBANA Y PAISAJISTICA;1;0;0;1;1;1;1;10;10;0;;;2 horas;17:30;;;;;;;;;;
1;CENTRO;C.C. 'CLARA DEL REY';INFORMATICA;1;0;0;1;1;1;1;8;8;0;;;1 hora, 30 min;10:30;;;;;;;;;;
1;CENTRO;C.C. 'CLARA DEL REY';INGLES;1;0;0;1;1;1;1;10;10;0;1 hora, 30 min;17:00;;;1 hora, 30 min;17:00;;;;;;;;
1;CENTRO;C.C. 'CLARA DEL REY';INGLES;1;0;0;1;1;1;1;10;10;0;1 hora, 30 min;18:30;;;1 hora, 30 min;18:30;;;;;;;;
1;CENTRO;C.C. 'CLARA DEL REY';PILATES;1;0;0;1;1;1;1;12;12;0;;;1 hora;11:30;;;1 hora;11:30;;;;;;
1;CENTRO;C.C. 'CLARA DEL REY';PILATES;2;0;0;1;1;1;1;12;12;0;;;1 hora;12:30;;;1 hora;12:30;;;;;;
1;CENTRO;C.C. 'CLARA DEL REY';PILATES;3;0;0;1;1;1;1;12;12;0;;;1 hora, 30 min;18:00;;;;;;;;;;
1;CENTRO;C.C. 'CLARA DEL REY';PILATES;4;0;0;1;1;1;1;12;12;0;;;;;;;1 hora, 30 min;18:00;;;;;;
1;CENTRO;C.C. 'CLARA DEL REY';PILATES;17;0;0;1;1;1;1;12;12;0;;;;;;;;;1 hora, 30 min;12:30;;;;
1;CENTRO;C.C. 'CLARA DEL REY';PINTURA;1;0;0;1;1;1;1;12;12;0;;;3 horas;10:00;;;;;;;;;;
1;CENTRO;C.C. 'CLARA DEL REY';PINTURA;2;0;0;1;1;1;1;12;12;0;;;2 HORAS, 30 MIN;17:30;;;;;;;;;;
1;CENTRO;C.C. 'CLARA DEL REY';PINTURA;3;0;0;1;1;1;1;12;12;0;;;;;;;3 horas;10:00;;;;;;
1;CENTRO;C.C. 'CLARA DEL REY';TAI CHI;1;0;0;1;1;1;1;12;12;0;;;;;;;;;1 hora, 30 min;9:30;;;;
1;CENTRO;C.C. 'CLARA DEL REY';TAI CHI;2;0;0;1;1;1;1;13;13;0;;;;;;;;;1 hora, 30 min;11:00;;;;
1;CENTRO;C.C. 'CLARA DEL REY';TEATRO;1;0;0;1;1;1;1;12;12;0;;;;;;;;;2 horas;17:00;;;;
1;CENTRO;C.C. 'CLARA DEL REY';TECNICAS DE MEMORIA;1;0;0;1;1;1;1;10;10;0;;;;;;;1 hora, 30 min;11:00;;;;;;
1;CENTRO;C.C. 'CLARA DEL REY';YOGA;1;0;0;1;1;1;1;12;12;0;1 hora, 30 min;9:30;;;1 hora, 30 min;9:30;;;;;;;;
1;CENTRO;C.C. 'CLARA DEL REY';YOGA;2;0;0;1;1;1;1;12;12;0;1 hora, 30 min;11:00;;;1 hora, 30 min;11:00;;;;;;;;
1;CENTRO;C.C. 'CLARA DEL REY';YOGA;3;0;0;1;1;1;1;12;12;0;1 hora, 30 min;12:30;;;1 hora, 30 min;12:30;;;;;;;;
1;CENTRO;C.C. 'CLARA DEL REY';YOGA;4;0;0;1;1;1;1;12;12;0;;;1 hora, 30 min;16:30;;;1 hora, 30 min;16:30;;;;;;
1;CENTRO;C.C. 'CLARA DEL REY';YOGUILATES;1;0;0;1;1;1;1;12;12;0;;;;;;;;;1 hora, 30 min;16:30;;;;
1;CENTRO;C.C. 'LAVAPIES';ARTESANIA;1;0;0;1;1;1;1;12;12;0;;;;;3 horas;17:00;;;;;;;;
1;CENTRO;C.C. 'LAVAPIES';BAILE EN LINEA;1;0;0;1;1;1;1;12;12;0;;;;;1 hora, 30 min;18:00;;;;;;;;
1;CENTRO;C.C. 'LAVAPIES';BISUTERIA / JOYERIA ARTESANAL;1;0;0;1;1;1;1;12;12;0;;;2 HORAS, 30 MIN;17:30;;;;;;;;;;
1;CENTRO;C.C. 'LAVAPIES';CATA DE VINOS;1;0;0;0;1;1;1;14;14;0;;;1 hora, 30 min;18:00;;;;;;;;;;
1;CENTRO;C.C. 'LAVAPIES';CERAMICA;4;0;0;1;1;1;1;12;12;0;;;;;;;4 horas;9:45;;;;;;
1;CENTRO;C.C. 'LAVAPIES';CERAMICA;5;0;0;1;1;1;1;12;12;0;;;;;;;3 horas;16:30;;;;;;
1;CENTRO;C.C. 'LAVAPIES';CERAMICA;1;0;0;1;1;1;1;12;12;0;;;4 horas;9:45;;;;;;;;;;
