DISTRITO_COD;DISTRITO_DESC;ORGANISMO_DESC;ACTIVIDAD_DESC;ACTIVIDAD_CATEGORICA;GRUPO_DESC;INFANTIL;NIÑEZ;ADOLESCENCIA;JOVEN ADULTO;ADULTO;ADULTO MAYOR;NUM_MAXIMO_ASISTENTES;NUM_PLAZAS_OCUPADAS;NUM_PLAZAS_LIBRES;CANT_GRUPOS_EDAD
15;CIUDAD LINEAL;CENTRO SOCIOCULTURAL SIENA;PILATES;1;2;0;0;1;1;1;1;8;8;0;4
15;CIUDAD LINEAL;C.C. LA ELIPA;PINTURA;2;1;0;0;1;1;1;1;12;12;0;4
14;MORATALAZ;C.S.C. EDUARDO CHILLIDA;TAI CHI;3;3;0;0;1;1;1;1;18;18;0;4
15;CIUDAD LINEAL;C.C. PRINCIPE DE ASTURIAS;PIANO;4;3;1;1;1;0;0;0;1;1;0;3
21;BARAJAS;C.C. VILLA DE BARAJAS;PINTURA;2;1;1;1;0;0;0;0;10;10;0;2
4;SALAMANCA;C.C. 'PALACETE FUENTE DEL BERRO';DIBUJO;5;1;0;0;1;1;1;1;12;12;0;4
14;MORATALAZ;C.C. EL TORITO;BAILES DE SALON;6;1;0;0;1;1;1;1;10;10;0;4
15;CIUDAD LINEAL;C.C. PRINCIPE DE ASTURIAS;PIANO;4;5;1;1;1;0;0;0;1;1;0;3
21;BARAJAS;C.C. VILLA DE BARAJAS;PILATES;1;1;0;0;1;1;1;1;18;17;1;4
2;ARGANZUELA;C.C. 'CASA DEL RELOJ';FRANCES;7;2;0;0;1;1;1;1;15;0;15;4
5;CHAMARTIN;CENTRO JUVENIL 'LUIS GONZAGA';CONOCER MADRID;8;8;0;0;1;1;1;1;15;15;0;4
12;USERA;C.C. CANOVAS DEL CASTILLO;YOGA;9;4;0;0;1;1;1;1;12;12;0;4
2;ARGANZUELA;CENTRO DOTACIONAL INTEGRADO ARGANZUELA ;YOGA;9;11;0;0;1;1;1;1;16;0;16;4
11;CARABANCHEL;C.C. FERNANDO LAZARO CARRETER;PILATES;1;7;0;0;1;1;1;1;20;20;0;4
15;CIUDAD LINEAL;C.C. PRINCIPE DE ASTURIAS;CANTO;10;6;1;1;1;1;1;1;1;1;0;6
5;CHAMARTIN;C.C. 'NICOLAS SALMERON';TAPICES Y TELARES;11;2;0;0;1;1;1;1;6;6;0;4
9;MONCLOA-ARAVACA;C.C. JUAN GENOVES (ANTES C.C. ARAVACA);PINTURA;2;1;0;0;1;1;1;1;12;11;1;4
20;SAN BLAS CANILLEJAS;C.C. BUERO VALLEJO;PILATES;1;7;0;0;0;1;1;1;14;14;0;3
17;VILLAVERDE;C.C. BOHEMIOS;PILATES;1;4;0;0;1;1;1;1;16;16;0;4
3;RETIRO;C.C. MERCADO DE IBIZA;RESTAURACION DE MUEBLES;12;2;0;0;1;1;1;1;12;12;0;4
1;CENTRO;C.C. 'LAVAPIES';TALLA EN MADERA;13;1;0;0;1;1;1;1;12;12;0;4
8;FUENCARRAL-EL PARDO;CENTRO SOCIOCULTURAL MONTECARMELO;PINTURA;2;3;0;0;1;1;1;1;10;10;0;4
15;CIUDAD LINEAL;C.C. SAN JUAN BAUTISTA;PIANO;4;32;0;0;1;1;1;1;1;1;0;4
11;CARABANCHEL;C.C. FERNANDO LAZARO CARRETER;INGLES;14;2;1;1;1;0;0;0;14;6;8;3
11;CARABANCHEL;C.S. OPORTO;PILATES;1;5;0;0;1;1;1;1;20;20;0;4
11;CARABANCHEL;CENTRO SOCIO CULTURAL SAN FRANCISCO-LA PRENSA;PILATES;1;3;0;0;1;1;1;1;14;14;0;4
6;TETUAN;CSC 'JOSE DE ESPRONCEDA';ACUARELA;15;2;0;0;1;1;1;1;16;16;0;4
11;CARABANCHEL;C.S. OPORTO;DIBUJO;5;1;1;1;1;0;0;0;12;12;0;3
12;USERA;C.C. MESETA DE ORCASITAS;COCINA;16;2;1;1;1;0;0;0;10;9;1;3
4;SALAMANCA;C.C. BUENAVISTA;PILATES;1;2;0;0;1;1;1;1;12;12;0;4
20;SAN BLAS CANILLEJAS;C.C. ANTONIO MACHADO;AJEDREZ;17;2;1;1;1;0;0;0;16;11;5;3
10;LATINA;CENTRO CULTURAL MIGUEL HERNANDEZ;PINTURA;2;3;0;0;1;1;1;1;13;12;1;4
11;CARABANCHEL;CENTRO SOCIO CULTURAL SAN FRANCISCO-LA PRENSA;PINTURA;2;1;1;1;1;0;0;0;10;10;0;3
5;CHAMARTIN;C.C. 'NICOLAS SALMERON';HISTORIA DEL ARTE;18;2;0;0;1;1;1;1;20;10;10;4
4;SALAMANCA;CENTRO SOCIOCULTURAL MAESTRO ALONSO;NUEVAS TECNOLOGIAS EN DISPOSITIVOS MOVILES;19;1;0;0;1;1;1;1;12;0;12;4
21;BARAJAS;CENTRO INTEGRADO TERESA DE CALCUTA;PILATES;1;1;0;0;1;1;1;1;8;7;1;4
1;CENTRO;C.C. 'PUERTA DE TOLEDO';CINE;20;1;0;0;1;1;1;1;16;16;0;4
16;HORTALEZA;C.C. HORTALEZA;INFORMATICA;21;1;0;0;1;1;1;1;9;9;0;4
15;CIUDAD LINEAL;C.C. SAN JUAN BAUTISTA;PIANO;4;7;0;0;1;1;1;1;1;1;0;4
4;SALAMANCA;C.C. 'PALACETE FUENTE DEL BERRO';YOGA;9;4;0;0;1;1;1;1;16;16;0;4
4;SALAMANCA;CENTRO CULTURAL EMILIA PARDO BAZÁN;AJEDREZ;17;1;0;1;1;0;0;0;10;5;5;2
20;SAN BLAS CANILLEJAS;C.C. ANTONIO MACHADO;INGLES;14;3;0;0;1;1;1;1;16;9;7;4
2;ARGANZUELA;CENTRO DOTACIONAL INTEGRADO ARGANZUELA ;INGLES;14;1;0;0;1;1;1;1;15;0;15;4
2;ARGANZUELA;CENTRO DOTACIONAL INTEGRADO ARGANZUELA ;CONOCER MADRID;8;3;0;0;1;1;1;1;16;0;16;4
10;LATINA;C.C. SARA MONTIEL;RESTAURACION DE MUEBLES;12;1;0;0;1;1;1;1;14;14;0;4
5;CHAMARTIN;ESPACIO CULTURAL ANTONIO LÓPEZ;BISUTERIA / JOYERIA ARTESANAL;22;1;0;0;1;1;1;1;8;6;2;4
5;CHAMARTIN;CENTRO JUVENIL 'LUIS GONZAGA';GIMNASIA DE MANTENIMIENTO;23;4;0;0;1;1;1;1;17;17;0;4
6;TETUAN;CSC 'JOSE DE ESPRONCEDA';FOTOGRAFIA CREATIVA;24;1;0;0;1;1;1;1;14;14;0;4
18;VILLA DE VALLECAS;C.C. ZAZUAR;PILATES;1;7;0;0;1;1;1;1;14;13;1;4
4;SALAMANCA;C.C. BUENAVISTA;PINTURA;2;7;0;0;1;1;1;1;12;12;0;4
7;CHAMBERI;C.C. 'GALILEO';TECNICAS DE MEMORIA;25;1;0;0;0;1;1;1;12;12;0;3
20;SAN BLAS CANILLEJAS;C.C. BUERO VALLEJO;ESTIRAMIENTO Y TONIFICACION;26;2;0;0;0;1;1;1;14;14;0;3
3;RETIRO;C.C. MERCADO DE IBIZA;YOGA;9;2;0;0;1;1;1;1;9;9;0;4
21;BARAJAS;CENTRO INTEGRADO TERESA DE CALCUTA;PINTURA;2;2;0;0;1;1;1;1;10;10;0;4
7;CHAMBERI;C.C. 'GALILEO';PIANO;4;13;0;0;1;1;1;1;2;2;0;4
7;CHAMBERI;C.C. 'GALILEO';CERAMICA;27;1;0;0;1;1;1;1;10;10;0;4
8;FUENCARRAL-EL PARDO;C.C. ALFREDO KRAUS;YOGA;9;3;0;0;0;1;1;1;12;12;0;3
15;CIUDAD LINEAL;CENTRO SOCIOCULTURAL CIUDAD LINEAL;PILATES;1;4;0;0;1;1;1;1;12;12;0;4
13;PUENTE DE VALLECAS;CENTRO SOCIOCULTURAL TALLERES DE CREATIVIDAD;DIBUJO;5;3;0;0;1;1;1;1;20;20;0;4
16;HORTALEZA;C.C. FEDERICO CHUECA;CONOCER MADRID;8;3;0;0;0;1;1;1;11;11;0;3
12;USERA;C.C. USERA;YOGA;9;1;0;0;1;1;1;1;18;18;0;4
5;CHAMARTIN;CENTRO JUVENIL 'LUIS GONZAGA';ALEMAN;28;1;0;0;1;1;1;1;16;15;1;4
5;CHAMARTIN;C.C. 'NICOLAS SALMERON';CORTE Y CONFECCION;29;5;0;0;1;1;1;1;9;8;1;4
6;TETUAN;C.C. EDUARDO URCULO;INGLES;14;3;0;0;1;1;1;1;15;15;0;4
14;MORATALAZ;C.S.C. Y JUVENIL MORATALAZ;BAILES LATINOS;30;2;0;0;1;1;1;1;16;16;0;4
5;CHAMARTIN;CENTRO JUVENIL 'LUIS GONZAGA';MINDFULNESS;31;1;0;0;1;1;1;1;15;15;0;4
21;BARAJAS;CENTRO SOCIO-CULTURAL GLORIA FUERTES;YOGA;9;2;0;0;1;1;1;1;14;14;0;4
12;USERA;C.C. CANOVAS DEL CASTILLO;GIMNASIA DE MANTENIMIENTO;23;2;0;0;1;1;1;1;10;10;0;4
13;PUENTE DE VALLECAS;CENTRO SOCIOCULTURAL ALBERTO SANCHEZ;CORTE Y CONFECCION;29;1;0;0;1;1;1;1;11;11;0;4
10;LATINA;C.C. SARA MONTIEL;CONOCER MADRID;8;6;0;0;1;1;1;1;20;19;1;4
10;LATINA;C.C. SARA MONTIEL;PILATES;1;2;0;0;1;1;1;1;20;20;0;4
2;ARGANZUELA;C.C. 'CASA DEL RELOJ';CONOCER MADRID;8;4;0;0;0;1;1;1;22;0;22;3
2;ARGANZUELA;CENTRO DOTACIONAL INTEGRADO ARGANZUELA ;FOTOGRAFIA DIGITAL;32;1;0;0;1;1;1;1;15;0;15;4
13;PUENTE DE VALLECAS;C.C. LOPE DE VEGA;CONOCER MADRID;8;2;0;0;0;1;1;1;14;14;0;3
7;CHAMBERI;C.C. 'GALILEO';PIANO;4;2;0;1;1;0;0;0;2;2;0;2
9;MONCLOA-ARAVACA;CENTRO CULTURAL EL PLANTÍO;BAILES DE SALON;6;1;0;0;1;1;1;1;8;8;0;4
8;FUENCARRAL-EL PARDO;C.C. ALFREDO KRAUS;PILATES;1;2;0;0;0;1;1;1;20;20;0;3
7;CHAMBERI;C.C. 'GALILEO';GIMNASIA DE MANTENIMIENTO;23;3;0;0;1;1;1;1;11;9;2;4
15;CIUDAD LINEAL;CENTRO SOCIOCULTURAL SIENA;MANEJO DE SMARTPHONE Y APLICACIONES;33;1;0;0;1;1;1;1;8;8;0;4
7;CHAMBERI;C.C. 'GALILEO';PINTURA;2;5;0;0;1;1;1;1;12;12;0;4
15;CIUDAD LINEAL;C.C. LA ELIPA;PIANO;4;66;1;1;1;1;1;1;1;1;0;6
10;LATINA;C.S.C. EL GRECO;CORTE Y CONFECCION;29;2;0;0;1;1;1;1;8;8;0;4
15;CIUDAD LINEAL;C.C. LA ELIPA;GUITARRA CLASICA;34;1;0;0;1;1;1;1;12;12;0;4
16;HORTALEZA;C.C. CARRIL DEL CONDE;CERAMICA;27;4;0;0;0;1;1;1;14;14;0;3
2;ARGANZUELA;CENTRO DOTACIONAL INTEGRADO ARGANZUELA ;INTRODUCCION A LA INTELIGENCIA ARTIFICIAL;35;1;0;0;1;1;1;1;15;0;15;4
8;FUENCARRAL-EL PARDO;C.C. ALFREDO KRAUS;PINTURA;2;2;0;0;0;1;1;1;14;14;0;3
19;VICALVARO;C.C. VALDEBERNARDO;CATA DE VINOS;36;1;0;0;0;1;1;1;15;14;1;3
15;CIUDAD LINEAL;C.C. LA ELIPA;PIANO;4;22;1;1;1;1;1;1;1;1;0;6
17;VILLAVERDE;C.S.C. SANTA PETRONILA;AEROBIC;37;1;0;0;1;1;1;1;21;20;1;4
10;LATINA;CENTRO SOCIO CULTURAL LATINA;PINTURA;2;3;0;0;1;1;1;1;11;10;1;4
2;ARGANZUELA;C.C. 'CASA DEL RELOJ';ENCUADERNACION;38;1;0;0;1;1;1;1;16;0;16;4
7;CHAMBERI;C.C. 'GALILEO';DESCUBRIR CIUDADES PARA VIAJAR;39;1;0;0;1;1;1;1;12;6;6;4
17;VILLAVERDE;C.S. MARCONI;INGLES;14;1;0;0;1;1;1;1;10;4;6;4
21;BARAJAS;C.C. VILLA DE BARAJAS;YOGA;9;8;0;0;1;1;1;1;12;12;0;4
10;LATINA;C.C. JOSE LUIS SAMPEDRO  ( ANTES C.C. LUCERO);TAI CHI;3;1;0;0;1;1;1;1;12;12;0;4
7;CHAMBERI;C.C. 'GALILEO';MUSICA Y MOVIMIENTO;40;1;1;1;0;0;0;0;11;5;6;2
8;FUENCARRAL-EL PARDO;C.S.C. RAFAEL DE LEON;CORTE Y CONFECCION;29;1;0;0;1;1;1;1;12;12;0;4
16;HORTALEZA;C.C. HORTALEZA;INTERNET;41;2;0;0;0;1;1;1;12;2;10;3
9;MONCLOA-ARAVACA;C.C. JUAN GENOVES (ANTES C.C. ARAVACA);PINTURA;2;1;1;1;0;0;0;0;10;5;5;2
10;LATINA;CENTRO SOCIO CULTURAL LATINA;PILATES;1;1;0;0;1;1;1;1;13;13;0;4
9;MONCLOA-ARAVACA;C.C. AGUSTIN DIAZ;PILATES;1;7;0;0;1;1;1;1;12;12;0;4
10;LATINA;C.C. FERNANDO DE LOS RIOS;PINTURA;2;2;0;0;1;1;1;1;16;16;0;4
9;MONCLOA-ARAVACA;C.C. AGUSTIN DIAZ;TAI CHI;3;2;0;0;1;1;1;1;12;12;0;4
17;VILLAVERDE;C.S. MARCONI;DIBUJO;5;1;1;1;0;0;0;0;10;4;6;2
9;MONCLOA-ARAVACA;C.C. JUAN GENOVES (ANTES C.C. ARAVACA);ACUARELA;15;1;0;0;1;1;1;1;10;9;1;4
17;VILLAVERDE;C.C. LOS ROSALES;PILATES;1;6;0;0;1;1;1;1;16;15;1;4
4;SALAMANCA;C.C. 'PALACETE FUENTE DEL BERRO';HISTORIA DE ESPAÑA;42;1;0;0;1;1;1;1;18;18;0;4
10;LATINA;C.C. FERNANDO DE LOS RIOS;GIMNASIA DE MANTENIMIENTO;23;8;0;0;0;1;1;1;18;18;0;3
16;HORTALEZA;C.C. HORTALEZA;MINDFULNESS;31;2;0;0;0;1;1;1;12;7;5;3
19;VICALVARO;C.C. VALDEBERNARDO;FOTOGRAFIA;43;1;0;0;1;1;1;1;18;18;0;4
21;BARAJAS;CENTRO INTEGRADO TERESA DE CALCUTA;RESTAURACION DE MUEBLES;12;3;0;0;1;1;1;1;10;10;0;4
17;VILLAVERDE;C.C. BOHEMIOS;BAILES LATINOS;30;1;0;1;1;0;0;0;14;8;6;2
11;CARABANCHEL;C.S. OPORTO;YOGA;9;2;0;0;1;1;1;1;14;13;1;4
10;LATINA;C.C. FERNANDO DE LOS RIOS;DEFENSA PERSONAL;44;1;0;0;1;1;1;1;14;13;1;4
21;BARAJAS;CENTRO INTEGRADO TERESA DE CALCUTA;BAILES LATINOS;30;1;0;0;1;1;1;1;16;16;0;4
4;SALAMANCA;CENTRO SOCIOCULTURAL MAESTRO ALONSO;BAILES LATINOS;30;1;0;0;1;1;1;1;22;0;22;4
13;PUENTE DE VALLECAS;C.C. LOPE DE VEGA;GUITARRA CLASICA;34;1;0;0;1;1;1;1;14;14;0;4
9;MONCLOA-ARAVACA;C.C. JULIO CORTAZAR;BAILES LATINOS;30;1;0;0;0;1;1;1;17;17;0;3
10;LATINA;CENTRO CULTURAL MIGUEL HERNANDEZ;BAILES DE SALON;6;1;0;0;1;1;1;1;12;12;0;4
12;USERA;C.C. USERA;PILATES;1;4;0;0;1;1;1;1;18;18;0;4
4;SALAMANCA;C.C. 'PALACETE FUENTE DEL BERRO';MICOLOGIA, HUERTOS Y JARDINES;45;4;0;0;1;1;1;1;12;12;0;4
10;LATINA;C.C. JOSE LUIS SAMPEDRO  ( ANTES C.C. LUCERO);PILATES;1;5;0;0;1;1;1;1;12;12;0;4
10;LATINA;C.C. SARA MONTIEL;BAILES DE SALON;6;2;0;0;1;1;1;1;16;16;0;4
10;LATINA;C.C. SARA MONTIEL;BAILES LATINOS;30;1;0;0;1;1;1;1;14;14;0;4
8;FUENCARRAL-EL PARDO;CENTRO SOCIO-CULTURAL VALVERDE;PILATES;1;2;0;0;1;1;1;1;14;14;0;4
7;CHAMBERI;C.C. 'GALILEO';BAILE ESPAÑOL;46;2;0;0;1;1;1;1;11;11;0;4
1;CENTRO;C.C. 'PUERTA DE TOLEDO';YOGA;9;2;0;0;1;1;1;1;12;12;0;4
13;PUENTE DE VALLECAS;CENTRO SOCIOCULTURAL TALLERES DE CREATIVIDAD;RESTAURACION DE MUEBLES;12;2;0;0;0;1;1;1;12;12;0;3
5;CHAMARTIN;ESPACIO CULTURAL ANTONIO LÓPEZ;TAI CHI;3;1;0;0;0;1;1;1;12;9;3;3
2;ARGANZUELA;C.C. 'CASA DEL RELOJ';PILATES;1;11;0;0;1;1;1;1;16;0;16;4
9;MONCLOA-ARAVACA;C.C. JUAN GENOVES (ANTES C.C. ARAVACA);RESTAURACION DE MUEBLES;12;2;0;0;1;1;1;1;12;12;0;4
15;CIUDAD LINEAL;C.C. SAN JUAN BAUTISTA;PIANO;4;39;0;0;1;1;1;1;1;1;0;4
10;LATINA;C.C. SARA MONTIEL;GUITARRA;47;1;0;0;1;1;1;1;14;14;0;4
4;SALAMANCA;C.C. BUENAVISTA;HISTORIA DE LA NOVELA  CONTENPORANEA;48;1;0;0;1;1;1;1;18;15;3;4
4;SALAMANCA;CENTRO SOCIOCULTURAL MAESTRO ALONSO;YOGA;9;3;0;0;1;1;1;1;22;0;22;4
10;LATINA;CENTRO SOCIO CULTURAL LATINA;ESTIRAMIENTO Y TONIFICACION;26;2;0;0;1;1;1;1;13;13;0;4
2;ARGANZUELA;C.C. 'CASA DEL RELOJ';INFORMATICA;21;1;0;0;1;1;1;1;16;0;16;4
2;ARGANZUELA;C.C. 'CASA DEL RELOJ';CONOCER MADRID;8;3;0;0;0;1;1;1;20;0;20;3
6;TETUAN;C.C. 'TETUAN';YOGA;9;6;0;0;1;1;1;1;18;18;0;4
3;RETIRO;C.C. MERCADO DE IBIZA;FOTOGRAFIA DIGITAL;32;1;0;0;1;1;1;1;12;11;1;4
15;CIUDAD LINEAL;C.C. LA ELIPA;PIANO;4;27;1;1;1;1;1;1;1;1;0;6
6;TETUAN;C.C. 'TETUAN';YOGA;9;2;0;0;1;1;1;1;18;18;0;4
